token,word,pos,contfunc,tobiaccent,tobiboundary,accented,boundary,prenuclear,nuclear,accenttype,filename,wordmin,wordmax,stressmin,stressmax,svmin,svmax,sv,phonwordmin,phonwordmax,phonword,durword,durstress,dursv,durphonword,word.phonerate,word.syllrate,stress.phonerate,stress.syllrate,phonword.phonerate,phonword.syllrate,int.sv,f0.word.max,f0.word.min,f0.word.range,f0.stress.max,f0.stress.min,f0.stress.range,f0.sv.max,f0.sv.min,f0.sv.range,log.f0.word.max,log.f0.stress.max,log.f0.sv.max,log.f0.word.max.norm,log.f0.stress.max.norm,log.f0.sv.max.norm,int.sv.norm,word.phonerate.norm,word.syllrate.norm,stress.phonerate.norm,stress.syllrate.norm,phonerate.file.mean,phonerate.file.sd,syllrate.file.mean,syllrate.file.sd,word.phonerate.norm.file,word.syllrate.norm.file,stress.phonerate.norm.file,stress.syllrate.norm.file,phonword.phonerate.norm.file,phonword.syllrate.norm.file,log.wordfreq.google,log.wordfreq.switchboard,log.wordfreq.buckeye,ba.16,pa.16,bm.16,pm.16,bi.16,pi.16,ba.32,pa.32,bm.32,pm.32,bi.32,pi.32,t01.ba,t02.ba,t03.ba,t04.ba,t05.ba,t06.ba,t07.ba,t08.ba,t09.ba,t10.ba,t11.ba,t12.ba,t13.ba,t14.ba,t15.ba,t16.ba,t17.ba,t18.ba,t19.ba,t20.ba,t21.ba,t22.ba,t23.ba,t24.ba,t25.ba,t26.ba,t27.ba,t28.ba,t29.ba,t30.ba,t31.ba,t32.ba,t01.pa,t02.pa,t03.pa,t04.pa,t05.pa,t06.pa,t07.pa,t08.pa,t09.pa,t10.pa,t11.pa,t12.pa,t13.pa,t14.pa,t15.pa,t16.pa,t17.pa,t18.pa,t19.pa,t20.pa,t21.pa,t22.pa,t23.pa,t24.pa,t25.pa,t26.pa,t27.pa,t28.pa,t29.pa,t30.pa,t31.pa,t32.pa,t01.bm,t02.bm,t03.bm,t04.bm,t05.bm,t06.bm,t07.bm,t08.bm,t09.bm,t10.bm,t11.bm,t12.bm,t13.bm,t14.bm,t15.bm,t16.bm,t17.bm,t18.bm,t19.bm,t20.bm,t21.bm,t22.bm,t23.bm,t24.bm,t25.bm,t26.bm,t27.bm,t28.bm,t29.bm,t30.bm,t31.bm,t32.bm,t01.pm,t02.pm,t03.pm,t04.pm,t05.pm,t06.pm,t07.pm,t08.pm,t09.pm,t10.pm,t11.pm,t12.pm,t13.pm,t14.pm,t15.pm,t16.pm,t17.pm,t18.pm,t19.pm,t20.pm,t21.pm,t22.pm,t23.pm,t24.pm,t25.pm,t26.pm,t27.pm,t28.pm,t29.pm,t30.pm,t31.pm,t32.pm,t01.bi,t02.bi,t03.bi,t04.bi,t05.bi,t06.bi,t07.bi,t08.bi,t09.bi,t10.bi,t11.bi,t12.bi,t13.bi,t14.bi,t15.bi,t16.bi,t17.bi,t18.bi,t19.bi,t20.bi,t21.bi,t22.bi,t23.bi,t24.bi,t25.bi,t26.bi,t27.bi,t28.bi,t29.bi,t30.bi,t31.bi,t32.bi,t01.pi,t02.pi,t03.pi,t04.pi,t05.pi,t06.pi,t07.pi,t08.pi,t09.pi,t10.pi,t11.pi,t12.pi,t13.pi,t14.pi,t15.pi,t16.pi,t17.pi,t18.pi,t19.pi,t20.pi,t21.pi,t22.pi,t23.pi,t24.pi,t25.pi,t26.pi,t27.pi,t28.pi,t29.pi,t30.pi,t31.pi,t32.pi,max.f0.sv.st,min.f0.sv.st,range.f0.sv.st,vel.f0.sv.st,mintime,maxtime,jump,max.f0.sv.st.norm
1,i,Pronoun,Function,NA,NA,0,0,0,0,0,s02-1,0.1188125,0.2288125,0.1188125,0.2288125,0.1188125,0.2288125,ay,0.1188125,0.1188125,NA,0.11,0.11,0.11,0,9.090909091,9.090909091,9.090909091,9.090909091,0,0,79.26330939,220.6563805,205.658293,14.9980875,220.6563805,205.658293,14.9980875,220.6563805,205.658293,14.9980875,5.396606652,5.396606652,5.396606652,-1.033504411,-1.065572977,-0.569767435,0.528031468,0.36084874,1.079054492,1.154564917,1.138900397,12.24039,4.179025,4.905021,1.983318,-0.753640122,2.110548127,-0.753640122,2.110548127,-2.929006168,-2.473138952,-8.006545,-3.246163,-3.627101,-3.627101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.38343934,90.42080271,2.962636627,40.0356301,0.1363125,0.2103125,none,-0.5772756794
2,really,Adverb,Content,L+H*,NA,1,0,1,0,1,s02-1,0.2288125,0.6448125,0.2288125,0.5088125,0.4068125,0.5088125,iy,0.2288125,0.6448125,really,0.416,0.28,0.178,0.416,9.615384615,4.807692308,7.142857143,3.571428571,9.615384615,4.807692308,79.419733,287.9303339,216.510032,71.42030196,280.7066829,216.510032,64.19665091,280.7066829,260.9013686,19.80531422,5.662718555,5.637310291,5.637310291,1.122656223,1.070880537,1.332127288,0.817368107,0.834055845,0.079066312,0.154494752,-0.201687945,12.24039,4.179025,4.905021,1.983318,-0.628138234,-0.04907367,-1.219789989,-0.672404742,-0.628138234,-0.04907367,-8.836714,-5.276462,-5.70977,0,0.5625,0,0.375,0,0.1875,0,0.5625,0.03125,0.40625,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97.57920246,96.32806698,1.251135481,13.45306969,0.4073125,0.5003125,none,1.338542433
3,don't,Contraction2,Function,H+!H*,NA,1,0,1,0,1,s02-1,0.6448125,1.0628125,0.6448125,1.0628125,0.7458125,0.9868125,ow,0.6448125,1.0628125,don't,0.418,0.418,0.101,0.418,7.177033493,2.392344498,7.177033493,2.392344498,7.177033493,2.392344498,76.55947226,255.6510574,155.7313139,99.91974349,255.6510574,155.7313139,99.91974349,220.1907861,174.0752424,46.11554372,5.543813458,5.543813458,5.39449438,0.675726935,0.73740725,0.081356691,-0.324476768,0.108720196,-0.775530485,0.367619828,-0.681259701,12.24039,4.179025,4.905021,1.983318,-1.211611921,-1.26690551,-1.211611921,-1.26690551,-1.211611921,-1.26690551,-14.924684,-14.191357,-4.914284,0,0.25,0,0.125,0,0.25,0,0.15625,0.03125,0.21875,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.38307795,89.06112871,-4.321949243,-18.00812184,0.9863125,0.7463125,none,0.08563341607
4,know,Verb,Content,!H*,L-L%,1,1,0,1,2,s02-1,1.0628125,1.5888125,1.0628125,1.5888125,1.1488125,1.5888125,ow,1.0628125,1.7968125,know i,0.526,0.526,0.086,0.734,3.802281369,1.901140684,3.802281369,1.901140684,4.08719346,2.72479564,73.90216462,192.1471757,114.8228889,77.32428683,192.1471757,114.8228889,77.32428683,187.373797,114.8228889,72.55090813,5.258261618,5.258261618,5.233105536,-1.035103238,-1.042263038,-0.987899426,-1.534548554,-1.209775954,-0.922194226,-1.239497128,-0.909961892,12.24039,4.179025,4.905021,1.983318,-2.019157251,-1.514573213,-2.019157251,-1.514573213,-1.950980561,-1.099281789,-8.198079,-4.143293,-5.287211,0.8125,0.4375,0.9375,0.1875,0.9375,0.3125,0.90625,0.46875,0.9375,0.34375,0.90625,0.21875,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,90.64226041,82.24449344,-8.39776697,-24.99335408,1.4853125,1.1493125,none,-0.9704379005
5,i,Pronoun,Function,NA,NA,0,0,0,0,0,s02-1,1.5888125,1.7968125,1.5888125,1.7968125,1.5888125,1.7968125,ay,1.5888125,1.5888125,NA,0.208,0.208,0.208,0,4.807692308,4.807692308,4.807692308,4.807692308,0,0,77.32028194,189.529404,67.44180311,122.0876009,189.529404,67.44180311,122.0876009,189.529404,67.44180311,122.0876009,5.244544179,5.244544179,5.244544179,-0.739658772,-0.739658772,-0.590357283,0.670752444,-0.706523915,0.405557099,-0.706523915,0.405557099,12.24039,4.179025,4.905021,1.983318,-1.778572201,-0.04907367,-1.778572201,-0.04907367,-2.929006168,-2.473138952,-8.006545,-3.246163,-3.627101,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71767209,82.26595335,8.451718736,106.9837815,1.6773125,1.7563125,none,-0.6173316622
6,think,Verb,Content,H*,H-,1,1,0,1,2,s02-1,1.7968125,2.2378125,1.7968125,2.2378125,1.9228125,2.0638125,ih,1.7968125,2.2378125,think,0.441,0.441,0.126,0.441,9.070294785,2.267573696,9.070294785,2.267573696,9.070294785,2.267573696,78.21477606,271.0045349,180.9449932,90.05954166,271.0045349,180.9449932,90.05954166,271.0045349,249.56917,21.43536492,5.602135555,5.602135555,5.602135555,1.721736342,1.721736342,1.709435265,0.659402502,0.229942997,-0.677177442,0.287060794,-0.562861168,12.24039,4.179025,4.905021,1.983318,-0.758572924,-1.329815644,-0.758572924,-1.329815644,-0.758572924,-1.329815644,-8.523582,-5.070614,-4.883631,0.3125,0.4375,0,0.1875,0,0.0625,0.375,0.40625,0.09375,0.15625,0,0.03125,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.93530363,95.48182525,1.453478385,18.87634266,1.9353125,2.0123125,none,1.713283302
7,in,Preposition,Function,NA,NA,0,0,0,0,0,s02-1,2.3448125,2.4748125,2.3448125,2.4748125,2.3448125,2.4228125,ih,2.3448125,2.3448125,NA,0.13,0.13,0.078,0,15.38461538,7.692307692,15.38461538,7.692307692,0,0,72.23462634,188.4405179,148.5176882,39.92282972,188.4405179,148.5176882,39.92282972,186.1922657,184.0265021,2.165763697,5.238782402,5.238782402,5.226779827,-0.541705924,-0.541705924,-0.588396521,-1.670254852,1.660971823,1.561663829,1.658957781,1.555462494,12.24039,4.179025,4.905021,1.983318,0.752382526,1.4053655,0.752382526,1.4053655,-2.929006168,-2.473138952,-4.918706,-4.351289,-4.406576,0,0,0,0,0,0.0625,0.03125,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.50723222,90.38137312,0.1258590967,3.069734065,2.3803125,2.4213125,none,-0.5741068709
8,today's,Noun,Content,H*,NA,1,0,1,0,1,s02-1,2.4748125,3.1888125,2.6438125,3.1888125,2.7558125,3.0788125,ey,2.4748125,3.1888125,today's,0.714,0.545,0.112,0.714,7.00280112,2.801120448,5.504587156,1.834862385,7.00280112,2.801120448,79.41855385,208.9789595,77.34527968,131.6336799,208.9789595,77.34527968,131.6336799,208.9789595,190.2294232,18.74953631,5.342233575,5.342233575,5.342233575,0.063245023,0.063245023,0.238465013,1.094087582,-0.690405559,-0.502368329,-0.804797762,-0.740209147,12.24039,4.179025,4.905021,1.983318,-1.253304031,-1.060798395,-1.611812048,-1.547991101,-1.253304031,-1.060798395,-20.475554,-14.191357,-9.770213,0,0.8125,0,0.75,0,0.5625,0,0.78125,0,0.8125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,92.43152779,90.82673773,-1.604790056,-5.078449544,3.0783125,2.7623125,none,0.2361976058
9,world,Noun,Content,!H*,L-L%,1,1,0,1,2,s02-1,3.1888125,3.8288125,3.1888125,3.8288125,3.3888125,3.5788125,er,3.1888125,3.8288125,world,0.64,0.64,0.2,0.64,6.25,1.5625,6.25,1.5625,6.25,1.5625,76.84573707,182.2867063,67.80852985,114.4781764,182.2867063,67.80852985,114.4781764,181.6802347,74.77603533,106.9041993,5.205580757,5.205580757,5.202248189,-0.179387453,-0.179387453,0.120973378,0.653526078,-1.007080915,-1.21797178,-0.932549201,-1.087363375,12.24039,4.179025,4.905021,1.983318,-1.433442011,-1.685317735,-1.433442011,-1.685317735,-1.433442011,-1.685317735,-8.493323,-8.245937,-7.75531,0.8125,0.4375,0.5625,0.375,0.375,0.3125,0.90625,0.53125,0.6875,0.53125,0.375,0.21875,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,90.0701998,86.27699056,-3.793209238,-26.16006371,3.5343125,3.3893125,none,0.1753082845
10,what,Complementizer,Function,NA,NA,0,0,0,0,0,s02-1,4.0788125,4.2288125,4.0788125,4.2288125,4.1488125,4.1837485,ah,4.0788125,4.0788125,NA,0.15,0.15,0.040608,0,26.66666667,6.666666667,26.66666667,6.666666667,0,0,73.08246742,194.8252329,155.345619,39.47961385,194.8252329,155.345619,39.47961385,166.0262302,161.5164252,4.509805003,5.272102915,5.272102915,5.112145789,0.499960352,0.499960352,-0.699161139,-0.802116191,1.463310275,0.590705437,1.448323267,0.618351453,12.24039,4.179025,4.905021,1.983318,3.452067568,0.888231573,3.452067568,0.888231573,-2.929006168,-2.473138952,-7.699732,-5.318029,-5.315866,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88.32239006,87.09109601,-1.231294053,-68.40522519,4.1833125,4.1653125,none,-0.6746595619
